line,station
11,"Centre, Badanstalt"
11,"Centre, Martyrs"
11,"Centre, Paris/Zitha"
11,"Luxembourg, Gare Centrale"
12,"Dommeldange, Parc De L'Europe"
12,"Hollerich, P+R Bouillon"
12,"Merl, Conservatoire"
12,"Merl, Athénée"
12,"Belair, Place De Liège"
12,"Belair, Kierch"
12,"Belair, Amsterdam"
12,"Belair, Archiducs"
12,"Luxembourg, Square New York"
12,"Centre, Charlys Gare"
12,"Centre, Royal"
12,"Centre, Badanstalt"
12,"Limpertsberg, Crispinus"
12,"Eich, Octroi"
12,"Eich, Eecher Plaz"
12,"Weimerskirch, Laval's Park"
12,"Weimerskirch, Knupp"
12,"Weimerskirch, Tommys Bruch"
12,"Weimerskirch, Biechelchen"
12,"Dommeldange, Van Der Meulen"
12,"Dommeldange, Jean Engling"
12,"Dommeldange, Parc De L'Europe"
13,"Luxembourg, Gare Centrale"
13,"Strassen, Centre Hospitalier"
13,"Belair, Kannerklinik/Maternité"
13,"Belair, Aubépines"
13,"Belair, Val Ste Croix"
13,"Merl, Kiirfecht"
13,"Belair, Oradour"
13,"Belair, Kierch"
13,"Belair, Sacré-Coeur"
13,"Belair, Wampach"
13,"Centre, Monterey"
13,"Centre, Martyrs"
13,"Centre, Paris/Zitha"
13,"Luxembourg, Gare Centrale"
14,"Cents, Waassertuerm"
14,"Luxembourg, Gare Centrale"
14,"Centre, Paris/Zitha"
14,"Centre, Martyrs"
14,"Centre, Badanstalt"
14,"Pfaffenthal, Um Bock"
14,"Clausen, Plateau Altmunster"
14,"Clausen, Clausener Bréck"
14,"Clausen, Tour Jacob"
14,"Clausen, Rumm"
14,"Cents, Dinselpuert"
14,"Cents, Kéibierg-I.N.S."
14,"Cents, Fort Dumoulin"
14,"Cents, Tawioun"
14,"Cents, Kierch"
14,"Cents, Jules Salentiny"
14,"Cents, Arthur Knaff"
14,"Cents, Charles De Tornaco"
14,"Cents, Gabriel De Marie"
14,"Cents, Trèves"
14,"Cents, Carmel"
14,"Cents, Paul Albrecht"
14,"Cents, Camille Polfer"
14,"Cents, Waassertuerm"
15,"Hamm, Rue De Bitbourg"
15,"Merl, Celtes"
15,"Merl, Barrière"
15,"Merl, Marcel Cahen"
15,"Hollerich, P+R Bouillon"
15,"Hollerich, P+R Bouillon Ext."
15,"Hollerich, Schluechthaus"
15,"Hollerich, Nancy"
15,"Hollerich, Alphonse Munchen"
15,"Belair, Bragance"
15,"Belair, Guillaume"
15,"Belair, Rheinsheim"
15,"Belair, Wampach"
15,"Centre, Monterey"
15,"Centre, Martyrs"
15,"Centre, Paris/Zitha"
15,"Luxembourg, Wallis"
15,"Luxembourg, Gare Rocade"
15,"Bonnevoie, Rotonde"
15,"Bonnevoie, Gabriel Lippmann"
15,"Bonnevoie, Kofferfabrik"
15,"Hamm, Montmédy"
15,"Hamm, Englebert Neveu"
15,"Hamm, Colonie"
15,"Hamm, Schoul"
15,"Hamm, Kierch"
15,"Hamm, Rue Haute"
15,"Hamm, Käschtewee"
15,"Hamm, Rue De Bitbourg"
16,"Hesperange, Cité Um Schlass"
16,"Howald, Op Der Stirzel"
16,"Howald, Ronneboesch"
16,"Howald, Moureschanz"
16,"Luxembourg, Gare Routière"
16,"Centre, Paris/Zitha"
16,"Centre, Martyrs"
16,"Centre, Fondation Pescatore"
16,"Kirchberg, Rout Bréck - Pafendall"
16,"Kirchberg, B.E.I."
16,"Kirchberg, Jean Monnet"
16,"Kirchberg, Antoine De St Exupéry"
16,"Kirchberg, Konrad Adenauer"
16,"Kirchberg, Avalon"
16,"Kirchberg, Poutty Stein"
16,"Kirchberg, Luxexpo Quai 4 (Arrêt Bus)"
16,"Senningerberg, Autobunn"
17,"Hollerich, P+R Bouillon"
17,"Centre, Monterey"
17,"Hollerich, Heentze Park"
17,"Hollerich, P+R Bouillon Ext."
17,"Hollerich, P+R Bouillon"
18,"Kirchberg, Konrad Adenauer"
18,"Kirchberg, Luxexpo Entrée Sud"
18,"Kirchberg, Poutty Stein"
18,"Kirchberg, Mathias Tresch"
18,"Kirchberg, Léon Thyes"
18,"Kirchberg, Avalon"
18,"Kirchberg, Konrad Adenauer"
19,"Limpertsberg, Neumans-Park"
19,"Limpertsberg, Neumans-Park"
19,"Limpertsberg, Lefèvre"
19,"Limpertsberg, Jean Soupert"
19,"Limpertsberg, Léandre Lacroix"
19,"Limpertsberg, N.S.Pierret"
19,"Limpertsberg, Alfred De Musset"
19,"Limpertsberg, Allée Scheffer"
19,"Limpertsberg, Glacis/Nikloskierfecht"
19,"Centre, Stäreplaz"
19,"Belair, Wampach"
19,"Centre, Monterey"
19,"Luxembourg, Ste Zithe"
19,"Centre, Michel Rodange"
19,"Centre, Etats-Unis"
19,"Centre, Commerce"
19,"Luxembourg, Gare Centrale"
19,"Centre, Al Avenue/A-Z"
19,"Centre, F.D. Roosevelt"
19,"Centre, Hällepull"
19,"Centre, Cathédrale"
19,"Centre, Kasinosgaass"
19,"Centre, Badanstalt"
19,"Centre, Fondation Pescatore"
19,"Limpertsberg, Lycée Robert Schuman"
19,"Limpertsberg, Belle-Vue"
19,"Limpertsberg, Arts & Métiers"
19,"Limpertsberg, Guillaume Schneider"
19,"Limpertsberg, Bois"
19,"Limpertsberg, Wassertuerm"
19,"Limpertsberg, Square André"
19,"Limpertsberg, Batty Weber"
19,"Luxembourg, Uni Campus Limpertsberg"
19,"Limpertsberg, Jean Soupert"
19,"Limpertsberg, Lefèvre"
19,"Limpertsberg, Neumans-Park"
20,"Centre, Fondation Pescatore"
20,"Kirchberg, Luxexpo Quai 4 (Arrêt Bus)"
20,"Kirchberg, Hôpital"
20,"Weimershof, Joseph Hackin"
20,"Kirchberg, Labours"
20,"Kirchberg, Muguets"
20,"Kirchberg, Marguerites"
20,"Weimershof, Pâquerettes"
20,"Weimershof, Bleuets"
20,"Kirchberg, Léon Hengen"
20,"Kirchberg, Niedergrünewald"
20,"Kirchberg, Rout Bréck - Pafendall"
20,"Centre, Fondation Pescatore"
21,"Eich, Centre Culturel"
21,"Gasperich, Guillaume Kroll"
21,"Gasperich, Ruppert"
21,"Gasperich, Jean Piret"
21,"Gasperich, Émile Bian"
21,"Gasperich, Leonardo Da Vinci"
21,"Gasperich, Francophonie"
21,"Luxembourg, Gare Centrale"
21,"Centre, Paris/Zitha"
21,"Centre, Martyrs"
21,"Centre, Monterey"
21,"Centre, Charlys Gare"
21,"Rollingergrund, Biischtefabrik"
21,"Rollingergrund, Bei Der Fiels"
21,"Rollingergrund, Beim Klomp"
21,"Rollingergrund, Val Fleuri"
21,"Rollingergrund, Val St André"
21,"Rollingergrund, Roudebierg"
21,"Rollingergrund, Villeroy & Boch"
21,"Muhlenbach, Peiffeschbierg"
21,"Muhlenbach, Siwemuergen"
21,"Muhlenbach, Eecher Schmelz"
21,"Eich, Ecole Eich"
21,"Eich, Eecher Plaz"
21,"Eich, Centre Culturel"
22,"Belair, Stade"
22,"Luxembourg, Gare Centrale"
22,"Centre, Paris/Zitha"
22,"Centre, Martyrs"
22,"Centre, Monterey"
22,"Centre, Charlys Gare"
22,"Belair, Service Incendie"
22,"Belair, Stade"
23,"Beggen, Henri Dunant"
23,"Gasperich, François Hogenberg"
23,"Gasperich, Louis De Froment"
23,"Gasperich, Klensch"
23,"Gasperich, Al Gasperich"
23,"Gasperich, Bei Der Auer"
23,"Gasperich, Clemenceau"
23,"Gasperich, Richard Wagner"
23,"Gasperich, Millewee"
23,"Gasperich, Déportation"
23,"Centre, Alsace"
23,"Luxembourg, Gare Centrale"
23,"Centre, Paris/Zitha"
23,"Grund, Stadgronn-Bréck"
23,"Clausen, Rumm"
23,"Clausen, Tour Jacob"
23,"Clausen, Clausener Bréck"
23,"Clausen, Ste Cunégonde"
23,"Pfaffenthal, Vauban"
23,"Pfaffenthal, Théiwesbur"
23,"Pfaffenthal, Halte Cfl"
23,"Pfaffenthal, Sichenhaff"
23,"Pfaffenthal, Stade G.Diderich"
23,"Eich, Eecher Plaz"
23,"Dommeldange, Contournement"
23,"Dommeldange, Van Der Meulen"
23,"Dommeldange, Château"
23,"Luxembourg, Chingiz Aitmatov"
23,"Beggen, Cyprien Merjai"
